InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
563613,23298,SPOTTY BUNTING,3,2011-08-18 8:49,4.95,12688.0,Israel
543565,22960,JAM MAKING SET WITH JARS,6,2011-02-10 10:40,4.25,14431.0,United Kingdom
571441,22691,DOORMAT WELCOME SUNRISE,1,2011-10-17 13:31,15.79,14096.0,United Kingdom
573934,22728,ALARM CLOCK BAKELIKE PINK,4,2011-11-02 10:36,3.75,17719.0,United Kingdom
545505,22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,32,2011-03-03 11:40,3.39,17856.0,United Kingdom
545559,22367,CHILDRENS APRON SPACEBOY DESIGN,2,2011-03-03 15:31,1.95,15005.0,United Kingdom
C547854,22530,MAGIC DRAWING SLATE DOLLY GIRL ,-24,2011-03-27 12:12,0.42,14586.0,United Kingdom
574953,20717,STRAWBERRY SHOPPER BAG,10,2011-11-08 9:50,1.25,16187.0,United Kingdom
538839,21357,TOAST ITS - DINOSAUR,1,2010-12-14 13:10,1.25,14606.0,United Kingdom
571039,21162,TOXIC AREA  DOOR HANGER ,1,2011-10-13 12:59,0.39,16121.0,United Kingdom
564818,23004,TRAVEL CARD WALLET PANTRY,1,2011-08-30 12:10,0.83,,United Kingdom
539464,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2010-12-19 11:35,2.95,17913.0,United Kingdom
553192,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,6,2011-05-15 13:27,3.75,15333.0,United Kingdom
577314,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-11-18 13:23,4.95,12444.0,Norway
547874,21390,FILIGRIS HEART WITH BUTTERFLY,24,2011-03-27 15:39,1.25,14476.0,United Kingdom
578285,20981,12 PENCILS TALL TUBE WOODLAND,1,2011-11-23 13:57,0.85,12748.0,United Kingdom
541005,22634,CHILDS BREAKFAST SET SPACEBOY ,1,2011-01-13 10:39,9.95,16161.0,United Kingdom
541422,21803,CHRISTMAS TREE STAR DECORATION,9,2011-01-17 17:48,0.42,,United Kingdom
576840,22961,JAM MAKING SET PRINTED,4,2011-11-16 15:23,3.29,,United Kingdom
565840,23196,VINTAGE LEAF MAGNETIC NOTEPAD,3,2011-09-07 12:02,1.45,,United Kingdom
578805,20674,GREEN POLKADOT BOWL,8,2011-11-25 12:57,1.25,16401.0,United Kingdom
553158,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-05-13 15:24,1.69,14194.0,United Kingdom
552563,21790,VINTAGE SNAP CARDS,12,2011-05-10 11:54,0.85,17597.0,United Kingdom
565408,22379,RECYCLING BAG RETROSPOT ,1,2011-09-04 11:12,2.1,16813.0,United Kingdom
543610,48111,DOORMAT 3 SMILEY CATS,2,2011-02-10 14:30,7.95,16425.0,United Kingdom
554157,20727,LUNCH BAG  BLACK SKULL.,1,2011-05-23 11:33,1.65,18283.0,United Kingdom
578335,22619,SET OF 6 SOLDIER SKITTLES,4,2011-11-24 9:06,3.75,17481.0,United Kingdom
540564,22617,"mouldy, thrown away.",-2600,2011-01-10 10:36,0.0,,United Kingdom
566922,23339,EGG FRYING PAN BLUE ,6,2011-09-15 14:58,2.08,16156.0,United Kingdom
561369,22607,WOODEN ROUNDERS GARDEN SET ,2,2011-07-26 16:22,16.63,,United Kingdom
544335,22624,IVORY KITCHEN SCALES,3,2011-02-17 19:21,8.5,14702.0,United Kingdom
569843,35953,FOLKART STAR CHRISTMAS DECORATIONS,8,2011-10-06 13:29,0.39,14449.0,United Kingdom
536943,22746,POPPY'S PLAYHOUSE LIVINGROOM ,1,2010-12-03 12:11,2.1,17884.0,United Kingdom
546502,21094,SET/6 RED SPOTTY PAPER PLATES,1,2011-03-14 11:46,0.85,16005.0,United Kingdom
542147,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,2011-01-26 10:02,1.49,12782.0,Portugal
555515,23168,CLASSIC CAFE SUGAR DISPENSER,5,2011-06-05 10:47,1.25,17690.0,United Kingdom
551843,21843,RED RETROSPOT CAKE STAND,1,2011-05-04 13:57,10.95,16094.0,United Kingdom
577544,23570,TRADITIONAL PICK UP STICKS GAME ,6,2011-11-20 14:43,1.25,17758.0,United Kingdom
573576,21232,STRAWBERRY CERAMIC TRINKET POT,3,2011-10-31 14:09,2.46,14096.0,United Kingdom
570197,21446,12 RED ROSE PEG PLACE SETTINGS,2,2011-10-07 15:45,1.25,13755.0,United Kingdom
551997,82482,WOODEN PICTURE FRAME WHITE FINISH,2,2011-05-05 15:47,4.96,,United Kingdom
553184,21314,SMALL GLASS HEART TRINKET POT,4,2011-05-15 12:33,2.1,13232.0,United Kingdom
569000,22984,CARD GINGHAM ROSE ,12,2011-09-29 17:36,0.42,17015.0,United Kingdom
573183,23005,TRAVEL CARD WALLET I LOVE LONDON,4,2011-10-28 11:33,0.42,15028.0,United Kingdom
540352,10135,COLOURING PENCILS BROWN TUBE,6,2011-01-06 14:27,1.28,,United Kingdom
562708,23000,TRAVEL CARD WALLET TRANSPORT,4,2011-08-08 14:15,0.42,17085.0,United Kingdom
542794,22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,1,2011-02-01 10:56,7.46,,United Kingdom
540526,22567,20 DOLLY PEGS RETROSPOT,3,2011-01-09 13:41,1.25,14606.0,United Kingdom
566238,23203,JUMBO BAG VINTAGE DOILY ,1,2011-09-11 11:24,2.08,17377.0,United Kingdom
560926,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,2,2011-07-22 9:20,2.46,,United Kingdom
550346,22960,JAM MAKING SET WITH JARS,6,2011-04-18 9:31,4.25,16639.0,United Kingdom
543660,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,1,2011-02-11 10:40,8.29,,United Kingdom
569223,21219,SET/4 BADGES BALLOON GIRL,10,2011-10-02 13:49,1.25,16283.0,United Kingdom
580286,23252,VINTAGE RED ENAMEL TRIM JUG ,4,2011-12-02 13:28,3.75,17611.0,United Kingdom
551337,21922,UNION STRIPE WITH FRINGE  HAMMOCK,1,2011-04-27 16:54,7.95,16418.0,United Kingdom
C540246,85042,ANTIQUE LILY FAIRY LIGHTS,-2,2011-01-05 15:43,4.95,13081.0,United Kingdom
574680,20713,JUMBO BAG OWLS,10,2011-11-06 12:40,2.08,15078.0,United Kingdom
542121,22673,FRENCH GARDEN SIGN BLUE METAL,2,2011-01-25 14:33,1.25,17515.0,United Kingdom
547396,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,1,2011-03-22 16:54,4.13,,United Kingdom
555722,21289,LARGE STRIPES CHOCOLATE GIFT BAG,11,2011-06-06 16:06,1.25,,United Kingdom
566400,23427,STOOL HOME SWEET HOME ,1,2011-09-12 13:16,12.5,17139.0,United Kingdom
548742,21866,UNION JACK FLAG LUGGAGE TAG,1,2011-04-04 12:00,1.25,14688.0,United Kingdom
565151,21756,BATH BUILDING BLOCK WORD,3,2011-09-01 14:29,6.25,16923.0,United Kingdom
548194,21695,SMALL SILVER FLOWER CANDLE POT,1,2011-03-29 15:30,5.79,,United Kingdom
544282,85152,HAND OVER THE CHOCOLATE   SIGN ,24,2011-02-17 12:24,2.1,17865.0,United Kingdom
556630,23202,JUMBO BAG VINTAGE LEAF,10,2011-06-13 14:59,2.08,13999.0,United Kingdom
538327,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,1,2010-12-10 13:58,1.25,15514.0,United Kingdom
572309,23187,FRENCH STYLE STORAGE JAR BONBONS,6,2011-10-23 15:29,0.29,14432.0,United Kingdom
576355,82482,WOODEN PICTURE FRAME WHITE FINISH,36,2011-11-14 16:28,2.55,13089.0,United Kingdom
540372,62018,SOMBRERO ,6,2011-01-06 16:41,1.95,13081.0,United Kingdom
579541,23339,EGG FRYING PAN BLUE ,1,2011-11-30 10:12,2.08,14653.0,United Kingdom
560504,22662,LUNCH BAG DOLLY GIRL DESIGN,20,2011-07-19 11:47,1.65,13081.0,United Kingdom
571243,22423,REGENCY CAKESTAND 3 TIER,1,2011-10-14 15:26,12.75,14595.0,United Kingdom
559527,21907,I'M ON HOLIDAY METAL SIGN,6,2011-07-10 11:24,2.1,17787.0,United Kingdom
557248,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-06-17 15:22,12.75,14491.0,United Kingdom
550302,22925,BLUE GIANT GARDEN THERMOMETER,2,2011-04-17 10:17,5.95,14156.0,EIRE
573373,22641,SET OF 4 NAPKIN CHARMS INSTRUMENT,1,2011-10-30 13:37,2.55,14684.0,United Kingdom
577893,23500,KEY RING BASEBALL BOOT ASSORTED ,20,2011-11-22 11:47,1.25,17073.0,United Kingdom
567901,46776E,WOVEN CANDY CUSHION COVER ,1,2011-09-22 16:28,4.13,,United Kingdom
571508,23240,SET OF 4 KNICK KNACK TINS DOILY ,1,2011-10-17 15:27,8.29,,United Kingdom
579512,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-11-29 16:47,19.96,,United Kingdom
556845,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,24,2011-06-15 11:30,4.15,17511.0,United Kingdom
558904,46776A,WOVEN BUBBLE GUM CUSHION COVER,2,2011-07-04 16:18,4.13,,United Kingdom
580691,22750,FELTCRAFT PRINCESS LOLA DOLL,4,2011-12-05 15:48,3.75,13790.0,United Kingdom
537823,22419,LIPSTICK PEN RED,11,2010-12-08 14:25,0.85,,United Kingdom
558355,84925F,PSYCHEDELIC WALL THERMOMETER,1,2011-06-28 14:58,2.55,13614.0,United Kingdom
548484,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,2011-03-31 12:43,2.95,13571.0,United Kingdom
544463,90064A,WHITE VINTAGE CRYSTAL EARRINGS,4,2011-02-20 14:31,3.75,12988.0,United Kingdom
568670,22865,HAND WARMER OWL DESIGN,2,2011-09-28 13:07,2.1,14978.0,United Kingdom
564735,21506,"FANCY FONT BIRTHDAY CARD, ",12,2011-08-28 13:35,0.42,15856.0,United Kingdom
572127,22111,SCOTTIE DOG HOT WATER BOTTLE,6,2011-10-21 9:20,4.95,14911.0,EIRE
552946,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-05-12 11:50,1.95,12683.0,France
541497,22029,SPACEBOY BIRTHDAY CARD,2,2011-01-18 15:19,0.83,,United Kingdom
562598,85053,FRENCH ENAMEL CANDLEHOLDER,6,2011-08-08 10:00,2.1,15152.0,United Kingdom
565231,15056N,EDWARDIAN PARASOL NATURAL,1,2011-09-02 9:26,12.46,,United Kingdom
541995,22728,ALARM CLOCK BAKELIKE PINK,4,2011-01-25 9:58,3.75,13158.0,United Kingdom
560090,22449,SILK PURSE BABUSHKA PINK,2,2011-07-14 16:46,2.46,,United Kingdom
538354,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-10 15:45,0.55,16873.0,United Kingdom
543173,23231,WRAP DOILEY DESIGN,25,2011-02-04 9:30,0.42,13871.0,United Kingdom
572552,22624,IVORY KITCHEN SCALES,1,2011-10-24 17:07,16.63,14096.0,United Kingdom
552968,21136,PAINTED METAL PEARS ASSORTED,8,2011-05-12 13:33,1.69,16184.0,United Kingdom
572549,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,2011-10-24 17:03,1.25,,United Kingdom
559494,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-07-08 13:54,4.13,,United Kingdom
